video_id,comment_text,likes,replies
XpVt6Z1Gjjo,Logan Paul it's yo big day ‼️‼️‼️,4,0
XpVt6Z1Gjjo,I've been following you from the start of your vine channel and have seen all 365 vlogs,3,0
XpVt6Z1Gjjo,Say hi to Kong and maverick for me,3,0
XpVt6Z1Gjjo,MY FAN . attendance,3,0
XpVt6Z1Gjjo,trending 😉,3,0
XpVt6Z1Gjjo,#1 on trending AYYEEEEE,3,0
XpVt6Z1Gjjo,The end though 😭👍🏻❤️,4,0
XpVt6Z1Gjjo,#1 trending!!!!!!!!!,3,0
XpVt6Z1Gjjo,Happy one year vlogaversary,3,0
XpVt6Z1Gjjo,You and your shit brother may have single handedly ruined YouTube.....thanks...,0,0
XpVt6Z1Gjjo,There should be a mini Logan Paul too!,0,0
XpVt6Z1Gjjo,"Dear Logan, I really wanna get your Merch but I don't have the money. We don't even have a Car. It would really make my day to have any of your merch",0,0
XpVt6Z1Gjjo,Honestly Evan is so annoying. Like its not funny watching him try to be famous he's trying way to hard and I don't like it,0,0
XpVt6Z1Gjjo,Casey is still better then logan,0,0
XpVt6Z1Gjjo,aw geez rick this guy is the face of YouTube.,0,0
XpVt6Z1Gjjo,He happy cause he in a movie,0,0
XpVt6Z1Gjjo,"Ayyyyoooo Logang what up .  This was a hard vlog to watch Logan how dare are you to destroyed that YouTube bag . Logang Army check my covers and share them  can Logang help me to hit 1,000 Subscribers today, I think we can do it SUBSCRIBE",1,0
XpVt6Z1Gjjo,Bro y didnt u give merch to johannes he is ur boy 2,0,0
XpVt6Z1Gjjo,It's been fun watching you grow. I'm at 42 days straight and can't seem to grow. Any advice?,3,0
XpVt6Z1Gjjo,Made a lot of people hate youtube - GJ,0,0
XpVt6Z1Gjjo,NO HONEY NOOO can't believe he has almost 12 mili in a year damnn,0,0
XpVt6Z1Gjjo,Jake Paul is the fastest growing channel to hit 10 Million and thats a fact and is u dont want to believe that then just dab away,1,0
XpVt6Z1Gjjo,"lol PEWDIEPIE accidentally played song with words nig%%r during his stream, u can watch that part on my channel, i've just uploaded. Like so more ppl could see this",0,0
XpVt6Z1Gjjo,You should do a prank that you broke  your play puttun,0,0
XpVt6Z1Gjjo,I love Logan and Jake so much and thay are so amazing and I look up to them so much 😍💋💙👍,1,0
XpVt6Z1Gjjo,#1 on Trending let's go.,0,0
XpVt6Z1Gjjo,Evan was being such a dick on this vlog,0,0
XpVt6Z1Gjjo,if you get allot of diss likes do you get on the top comments? lets see diss like this please,0,0
XpVt6Z1Gjjo,Evan is a horrible human being he also looks so jealous when you open it like he should be happy for you,0,0
XpVt6Z1Gjjo,I love you so much I love to meet you But I live in Israel You really inspire me I really like your channel Keep doing what you do\nBecause everyone loves it and will be Unique and Pashan will be creative and I hope you will see it bye,0,0
XpVt6Z1Gjjo,👈 watch by clicking here you can see people's are entertaining,0,0
XpVt6Z1Gjjo,I was dying when he threw the midget on the ground at the end LMAO,0,0
XpVt6Z1Gjjo,Technically it was Logan cos Jake started his channel in 2013,0,0
XpVt6Z1Gjjo,Logan's 4 life all the way from England,0,0
XpVt6Z1Gjjo,Gotta love Youtube for giving morons the ability to earn a buck from other morons.,0,0
XpVt6Z1Gjjo,"Evan is being a douch Logans getting pissed, Logan should have went to smash his game system then evan would have cried 😂 & Evans not gonna be able to take care of a pitbull tell his ass no, its gonna kill kong !!!",0,0
XpVt6Z1Gjjo,Can the Pauls please stop saying they're the fastest growing YouTube channels?! That's PewDiePie's position!! He made managed to get all the subscribers you guys have in 6 MONTHS!!! Why is that so hard to understand?!,1,0
XpVt6Z1Gjjo,Why is trump trending on YouTube .. oh wait this isn't trump sure looks like him tho,0,0
XpVt6Z1Gjjo,When I saw this vid at first I was like naaahhhhh to tired but I looked at it again and saw the title and I was like H🔥LLLLLLZZZZ YEEEAAAHHHH and as a anniversary present Logan Paul I'm gonna b u for Halloween to show how much u hav changed ma life and I'm not even joking about it 😂😂😂,0,0
XpVt6Z1Gjjo,I subscribed today. This was only the second video I've watched and I had no idea it was a year special.,0,0
XpVt6Z1Gjjo,Jake started YouTube 3 years ago his first vid is 3 years ago so technically Logan hit it first,0,0
XpVt6Z1Gjjo,The girl with the dog was kylie Jenner 😂,1,0
